kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
10328393,K01905.02,Kepler-332 c,CONFIRMED,CANDIDATE,,0,0,0,0,15.9956114,144.2401,0.3721,3.312,230.8,1.3,619,34.74,20.5,2,q1_q12_tce,5141,4.472,0.861,286.66296,47.4137,14.017
10328393,K01905.03,Kepler-332 d,CONFIRMED,CANDIDATE,,0,0,0,0,34.2113054,154.57914,0.5221,4.944,260.4,1.41,481,12.61,19.7,3,q1_q12_tce,5141,4.472,0.861,286.66296,47.4137,14.017
11773328,K01906.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,8.710435285,134.615107,1.4351,1.0693,1260.6,41.82,760,78.81,42.1,1,q1_q12_tce,5417,4.576,0.809,296.62347,49.979172,14.816
7094486,K01907.01,Kepler-1009 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,11.35011917,134.04543,0.6929,2.3758,1297.3,2.08,445,9.26,39,1,q1_q12_tce,3901,4.711,0.542,282.85992,42.66576,15.278
3937519,K00221.01,Kepler-495 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,3.413036221,132.443088,0.0139,2.60753,4175.7,4.55,986,223.72,487.2,1,q1_q12_tce,5332,4.614,0.714,285.93069,39.098141,14.622
5730389,K01956.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,2.7595651,131.71703,0.9973,6.719,489.1,3.74,1209,505.23,79.9,1,q1_q12_tce,5641,4.505,0.876,298.0607,40.960732,14.618
10028352,K01957.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,1.386801364,132.53281,0.5711,1.2886,232.1,1.89,1952,3431.07,27.4,,,6419,4.321,1.188,297.79224,46.935829,12.655
9836149,K01958.01,Kepler-66 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,17.81595067,134.48201,0.1789,3.3668,906,2.81,699,56.48,42.4,1,q1_q12_tce,5964,4.484,0.933,293.98157,46.687752,15.2
4813563,K01959.01,Kepler-1026 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,36.5156053,151.29218,0.5527,3.588,855.4,2.3,431,8.13,35.4,1,q1_q12_tce,4915,4.537,0.773,283.60526,39.997978,14.254
6949061,K01960.01,Kepler-343 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,8.96848108,139.39475,0.7397,4.4376,250.2,1.79,946,189.4,38.5,1,q1_q12_tce,6122,4.41,1.047,291.96069,42.43301,14.128
9973109,K02018.01,Kepler-1056 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,27.495606,133.28365,0.7953,5.024,531.3,2.32,590,28.66,27.4,1,q1_q12_tce,5657,4.401,0.911,299.526,46.899261,14.55
9973109,K02018.02,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,16.0986449,131.8888,0.1439,5.675,156.9,1.14,705,58.53,10.3,2,q1_q12_tce,5657,4.401,0.911,299.526,46.899261,14.55
4833421,K00232.03,Kepler-122 d,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,21.5878875,142.9568,0.0269,4.426,254,1.52,670,47.58,24.8,4,q1_q12_tce,6103,4.496,0.949,291.11188,39.949108,14.247
6226290,K02019.01,Kepler-1057 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,14.08827448,137.34424,0.1832,4.1615,946.5,2.75,724,64.97,39.9,1,q1_q12_tce,5853,4.529,0.895,297.45215,41.558128,15.624
9349482,K02020.01,Kepler-1058 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,110.96546,187.04262,0.7074,12.841,1321.8,2.12,239,0.77,36.6,1,q1_q12_tce,4441,4.695,0.546,294.59579,45.875031,15.498
8041216,K00237.01,Kepler-500 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,8.508324398,134.786614,0.0023,3.5033,652.1,2.57,906,159.1,95.6,1,q1_q12_tce,5934,4.474,1.013,295.95135,43.852051,14.176
7449541,K02063.01,Kepler-1078 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,3.00725242,131.90272,0.8793,4.336,311.4,1.61,1125,378.75,29.7,1,q1_q12_tce,5674,4.582,0.782,293.20059,43.050041,15.62
2579043,K02064.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,6.31218195,136.93363,0.0047,4.959,429.6,2.29,1113,362.7,34,1,q1_q12_tce,6302,4.388,1.098,292.13525,37.889622,14.959
6342333,K02065.01,Kepler-1789 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,80.2317349,162.39731,0.9178,4.578,997.1,3.44,397,5.87,25.4,1,q1_q12_tce,5685,4.508,0.893,282.86319,41.79668,14.32
3239671,K02066.01,Kepler-1678 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,147.973027,263.08923,0.6378,7.011,1392.9,3.43,337,3.05,31,1,q1_q12_tce,6008,4.537,0.875,292.59164,38.399658,14.904
5706966,K01908.01,Kepler-333 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,12.55109333,137.26391,0.6955,3.2021,554.5,1.46,470,11.52,37.5,1,q1_q12_tce,4159,4.68,0.583,292.28607,40.913589,14.731
5706966,K01908.02,Kepler-333 c,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,24.0882568,134.42532,0.604,3.97,399.2,1.2,378,4.83,22.3,2,q1_q12_tce,4159,4.68,0.583,292.28607,40.913589,14.731
10130039,K01909.01,Kepler-334 c,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,12.75802811,133.95723,0.0939,4.1484,191.4,1.37,791,92.52,46.9,1,q1_q12_tce,5827,4.421,0.999,287.14066,47.115189,12.776
10130039,K01909.02,Kepler-334 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,5.47033694,131.49385,0.1548,3.0617,106.5,1.03,1049,286.03,34.7,2,q1_q12_tce,5827,4.421,0.999,287.14066,47.115189,12.776
